The paper presents results from high-resolution (HR) test sets focused on the analysis of residential buildings and their characteristics. It includes various predictions compared to ground truth data across different scenarios. 

In test set 1, the analysis covers:
- The area covered by residential buildings, where both ground truth and prediction indicate 0 m².
- The area of rectangular buildings, with both ground truth and prediction falling between 100 and 1000 m².
- Confirmation of a residential building located at the bottom of a place of worship, with both ground truth and prediction affirming its presence.
- The count of residential buildings at the bottom of a road, where ground truth indicates 4 buildings while prediction suggests 3.
- The amount of large buildings, with ground truth reporting 3 and prediction showing 1.
- The count of buildings on the left side of a road, where ground truth indicates 38 buildings, but the prediction shows 0.

In test set 2, the results include:
- The area covered by rectangular parkings, matching ground truth and prediction between 100 m² and 1000 m².
- The count of small buildings, where ground truth indicates 9 but prediction shows 0.
- The amount of large residential buildings, with ground truth showing 2 while prediction indicates 1.

The results highlight discrepancies between ground truth and predictions, demonstrating the challenges in accurately identifying and quantifying various building types in high-resolution imagery.
